상호명,상권업종소분류명,시도명,시군구명,경도,위도
포엘리피티,헬스장,강원특별자치도,동해시,129.108809648549,37.4877140354271
프라이빗,헬스장,강원특별자치도,횡성군,127.979204609411,37.491084200617
원주무실동프리미엄피티,헬스장,강원특별자치도,원주시,127.922593848707,37.3395071465332
스톤짐,헬스장,강원특별자치도,동해시,129.116343678697,37.532324192327
이포짐,헬스장,강원특별자치도,춘천시,127.728312192998,37.8811296418738
에이치엠토탈휘트니스,헬스장,강원특별자치도,원주시,127.948866715014,37.3307488582936
아우름짐,헬스장,강원특별자치도,속초시,128.57994130792,38.1955512067661
앤트짐,헬스장,강원특별자치도,양구군,127.988371195348,38.1026201485068
짐크래커,헬스장,강원특별자치도,강릉시,128.908368837975,37.7734068855976
훈짐,헬스장,강원특별자치도,원주시,127.919976335838,37.3006763015426
고고PT&WOMEN,헬스장,강원특별자치도,춘천시,127.733374829859,37.8632327550794
리온휘트니스,헬스장,강원특별자치도,원주시,127.87247035774,37.3825948064013
팀피,헬스장,강원특별자치도,동해시,129.109166477282,37.4867347466748
피티버프,헬스장,강원특별자치도,춘천시,127.732680673702,37.9078780973411
청년헬스석사점,헬스장,강원특별자치도,춘천시,127.74385005927,37.8562118457686
엑스바디,헬스장,강원특별자치도,원주시,127.927833903815,37.3361685067449
다짐,헬스장,강원특별자치도,강릉시,128.876613113565,37.7625754475347
오짐,헬스장,강원특별자치도,원주시,127.932966582641,37.361581316662
청년헬스강대점,헬스장,강원특별자치도,춘천시,127.737189860414,37.8663261540847
삼성휘트니스,헬스장,강원특별자치도,태백시,128.994109173271,37.1690540165745
더바른피티,헬스장,강원특별자치도,원주시,127.979981587241,37.323494468233
미드나잇짐,헬스장,강원특별자치도,춘천시,127.719465832827,37.8667961684164
엠에프헬스클럽,헬스장,강원특별자치도,강릉시,128.912252361846,37.7712899957602
짐구공,헬스장,강원특별자치도,춘천시,127.738832774553,37.9113352264527
소희핏,헬스장,강원특별자치도,원주시,127.978645597316,37.3240010751685
에이치케이짐석사점,헬스장,강원특별자치도,춘천시,127.741812730713,37.8581436850236
비타GX피트니스,헬스장,강원특별자치도,춘천시,127.737438074306,37.8581621553025
컨피던스짐,헬스장,강원특별자치도,원주시,127.939695528528,37.3417782031382
동해고려헬스,헬스장,강원특별자치도,동해시,129.102731009511,37.5378013596016
바디아카데미,헬스장,강원특별자치도,원주시,127.98102078944,37.3244589337698
몬스터짐회산점,헬스장,강원특별자치도,강릉시,128.863920306192,37.7392558298366
노비스컴퍼니,헬스장,강원특별자치도,강릉시,128.91947776503,37.7592994378204
비앤비운동센터,헬스장,강원특별자치도,원주시,127.944245723118,37.3771060261642
강릉TopGym&Fitness,헬스장,강원특별자치도,강릉시,128.897340928977,37.7491091655853
제이엠휘트니스,헬스장,강원특별자치도,태백시,128.981540466355,37.1589405008353
